level_2_key,title,nav_order,one_liner,scope_in,scope_out,newcomer_question_it_answers,primary_sources,level_3_pages,status
good_bills,Fix Bills,11,"Language the movement wrote that nobody has filed — real bills, with real sections, waiting for a sponsor.",The library of drafted fix bills; what each one does section by section; the four-bill Charlie Kirk disclosure package as the worked example; the standing rule that a fix bill is not a law and no page may imply otherwise; giving feedback on a draft.,Bills that somebody actually filed — those are good_laws.,"Do you have actual legislation, or just ideas?",~/BGit/act3/data_we_citizens/laws/good_bills/; ~/BGit/act3/we_citizens/pm/laws.mdx,overview.mdx; what_a_fix_bill_is.mdx; the_disclosure_package.mdx; sponsor_or_critique_one.mdx,created
good_laws,Good Laws,12,"Laws and bills that would repair democracy — the ones that passed, the ones voted down, and the ones never allowed a vote at all.","The good law list and its admission tests (repeal, restore, transparency, accountability, franchise, due process, speech, purse); the goodness rating and the citizen vote on it; the three fates of a good law; who blocked one from advancing and how that is recorded.",The reward a politician earns for advancing them — that is llama.,"Has anyone tried to fix this, and what happened?",~/BGit/act3/data_we_citizens/laws/good_laws/; ~/BGit/act3/we_citizens/pm/laws_good.mdx; ~/BGit/act3/we_citizens/pm/llama.mdx (the Good Law List),overview.mdx; the_admission_tests.mdx; passed_blocked_or_buried.mdx; who_blocked_it.mdx,created
politicians,Politicians,13,Everything we publish about a politician is an award earned or not earned — and the wall that keeps the record separate from the resume.,"The doctrine that governs every politician page: it is an award, never a score, never a grade on a person; the wall between the in-office voting record and everything else; the four rosters and how to find yours; how a politician or their staff disputes a record.",Each award and each roster — those are the areas below.,Are you just calling people names with extra steps?,~/BGit/act3/we_citizens/pm/awards.mdx; ~/BGit/act3/we_citizens/pm/politicians.mdx; ~/BGit/act3/we_citizens/use_cases.mdx (Part 4),overview.mdx; award_not_a_score.mdx; the_wall.mdx; dispute_a_record.mdx,created
legacy_politicians,Elected Politicians,14,"The 1,364 people who have held office and left a voting record — the hardest, most checkable evidence in the movement.",What a legacy record contains and where every row came from; the roster and how to find who represents you; the two awards a voting record can earn; the pending to for_vote to voted lifecycle; correcting your own record if you are the subject.,People who have never held office — that is new_politicians.,What has my representative actually done in office?,~/BGit/act3/data_we_citizens/politicians/legacy/; ~/BGit/act3/we_citizens/pm/politicians.mdx; ~/BGit/act3/we_citizens/pm/politician_view.mdx,overview.mdx; inside_a_legacy_record.mdx; find_who_represents_you.mdx; correct_your_own_record.mdx,created
new_politicians,Good New Leaders,15,"The people worth electing who have never been in office — assessed on what they have said and done, not on a voting record they do not have.","The roster of new political leaders; how somebody gets on it and who may recommend them (anyone, including a logged-out visitor); what is assessed — interviews, writing, public commitments, background; the percent-known companion; worrisome challengers and why flagging one costs sources.",Anyone with a voting record — that is legacy_politicians.,"Who should I vote FOR, not just against?",~/BGit/act3/data_we_citizens/politicians/new/; ~/BGit/act3/we_citizens/pm/politicians.mdx; ~/BGit/act3/we_citizens/pm/worrisome_challengers.mdx,overview.mdx; how_someone_gets_on_the_roster.mdx; what_gets_assessed.mdx; recommend_a_leader.mdx,created
monkey,The Monkey Award,16,"One number, 0 to 100, for how much a named politician did to put the democracy-destroying laws in place. Higher is worse.",What the award answers and the Monkey List it is computed over; the twelve categories every recorded act falls into; why blocking a repair weighs thirty floor votes; the weighted average with no curve and no cohort; why a 0 does not mean good; reproducing the number with a calculator.,"Anything outside the voting record — that never touches this award, by rule.",What does a 72% Monkey Award actually mean?,~/BGit/act3/we_citizens/pm/monkey.mdx; ~/BGit/act3/we_citizens/pm/Math_Monkey.txt; ~/BGit/act3/we_citizens/pm/math_politician_score.mdx,overview.mdx; the_monkey_list.mdx; what_counts_as_an_act.mdx; do_the_math_yourself.mdx,created
llama,The Llama Award,17,The mirror of the Monkey: how much a named politician did to repeal harmful law and advance the law that repairs democracy. Higher is better.,"The Good Law List and its admission tests; the same twelve categories and the same equation, one different table; why the Llama table is not the Monkey table inverted — a vote for a harmful law costs a repair record four times what it gains the damage record; dominance, which decides the award a card leads with.",Anything outside the voting record — that is flamingo.,Does anybody get credit for doing the right thing?,~/BGit/act3/we_citizens/pm/llama.mdx; ~/BGit/act3/we_citizens/pm/Math_Llama.txt; ~/BGit/act3/data_we_citizens/scores/llama/,overview.mdx; the_good_law_list.mdx; why_not_just_inverted.mdx; which_award_leads.mdx,created
flamingo,The Flamingo Award,18,Everything outside the voting record — and the only award with a state that means we have not looked yet.,"What the Flamingo covers (transcripts, interviews, background, resume, education, public commitments, qualification assessments); the three states and their marks; why full-colour, dark red and gray-brown must never collapse into one another; the award case and the per-area drill-in down to a single transcript.","The in-office record — that is monkey and llama, and the wall keeps them apart.",How do you judge someone who has never voted on anything?,~/BGit/act3/we_citizens/pm/flamingo.mdx; ~/BGit/act3/we_citizens/pm/qualifications.mdx,overview.mdx; the_three_states.mdx; what_feeds_it.mdx; not_assessed_is_not_a_verdict.mdx,created
voting_records,Voting Records,19,How we read the public record of how someone voted — the source of the hardest numbers on the site.,"Where voting data comes from and how it is downloaded; what counts as a vote, an authorship, and a block; how a record becomes an award percentage; gaps and how they are shown rather than hidden.",Assessment of people with no record — that is new_politicians and flamingo.,How do you know how they voted?,~/BGit/act3/we_citizens/pm/voting_records.mdx; ~/BGit/act3/we_citizens/pm/voting_records_download.mdx; ~/BGit/act3/data_we_citizens/provenance/voting_records/,overview.mdx; where_the_data_comes_from.mdx; what_counts_as_a_vote.mdx; blocked_from_a_vote.mdx,created
qualifications,Qualifications,20,"What makes somebody worth electing — sixteen rubrics, 781 graded criteria, published in the open before anyone is assessed.","The qualification areas (economics, anti-corruption, constitutional competence, foreign policy, citizens rights, intellectual rigor, loyalty, life experience and the rest); how a rubric is written with levels 1 to 10; why a market Democrat, an industrial-policy Republican and a deregulatory libertarian can all score a 9; reading the rubrics yourself.",The blend that turns assessments into one number — that is meritocracy.,How do you judge without just judging by party?,~/BGit/act3/data_we_citizens/qualifications/; ~/BGit/act3/we_citizens/ai/smart_contracts/; ~/BGit/act3/we_citizens/pm/ai_qualifications.mdx,overview.mdx; the_qualification_areas.mdx; how_a_rubric_works.mdx; read_the_rubrics.mdx,created
meritocracy,Meritocracy,21,"Influence here is earned and visible: a ladder citizens climb by doing checkable work, with a hard ceiling so it can never become a hierarchy.","The trust ladder (New, Identified, Contributing, Established, Steward); the merit score and what feeds it — a published corpus anyone can re-derive, verified actions, corroboration, tenure, and accuracy over time; the bounded 2x weight and why unbounded merit becomes oligarchy in three years; merit buys attention never authority; money and admin favour buy zero; anonymity never caps the ladder.",The action catalog that earns the credit — that is take_action.,"Who gets to decide, and how do I stop it becoming a clique?",~/BGit/act3/we_citizens/pm/Calc_engine_New_politicians_Qualified.mdx (6.2a); ~/BGit/act3/we_citizens/pm/citizens.mdx; ~/BGit/act3/we_citizens/code/packages/backend/src/modules/qualified/qualified.math.ts,overview.mdx; the_trust_ladder.mdx; how_merit_is_earned.mdx; the_rules_that_keep_it_honest.mdx,created
decisions,Decisions,22,"Pillar 1: you record where you stand, the platform runs the comparison, and communities can pool the result.",Recording a position; running the calculation against the social contract; individual position vs community consensus and the delta between them; yes/no votes and policy positions; publishing a decision.,Value systems that drive the judgment — that is values.,How do I record what I actually think?,~/BGit/act3/we_citizens/pm/decisions.mdx; ~/BGit/act3/we_citizens/pm/positions.mdx; ~/BGit/act3/we_citizens/pm/calc_engine.mdx,overview.mdx; record_a_position.mdx; run_the_comparison.mdx; community_consensus.mdx,created
values,Values,23,"Pillar 3: turn your ethics into something an AI can apply consistently, at scale, on your behalf.",Writing down your rules for deciding this versus that; the structured value-system format; downloading a policy packet you agree with or publishing your own; how AI applies a value system to a real issue; the limits of doing this.,Verification of factual chains — that is evidence.,How can software possibly represent what I believe?,~/BGit/act3/we_citizens/pm/values.mdx; ~/BGit/act3/we_citizens/pm/metaphysics.mdx; ~/BGit/act3/we_citizens/CLAUDE.md (Pillar 3),overview.mdx; write_down_your_values.mdx; policy_packets.mdx; where_this_stops.mdx,created
evidence,Evidence,24,Pillar 4: deciding when a few links are missing on purpose — the answer to you cannot prove it so you cannot say it.,"Chain-of-evidence records; explicit gap tracking (classified, suppressed, blocked); setting your own confidence threshold for action; AI checking the chain from first principles; grading a source.","Any claim about a living person without a source — never published, see open_data.",What if the proof is deliberately withheld?,~/BGit/act3/we_citizens/pm/evidence.mdx; ~/BGit/act3/we_citizens/pm/facts.mdx; ~/BGit/act3/data_we_citizens/schema/transcript_evidence_grades.yaml,overview.mdx; chain_of_evidence.mdx; naming_the_gaps.mdx; your_confidence_threshold.mdx,created
communities,Communities,25,"Where the work happens together: communities, the areas inside them, and the citizens doing the work.","What a community is and how it is scoped; areas inside a community; joining, leaving, stewarding; how individual decisions aggregate into a community position; trusted citizens.",The merit weighting inside that aggregation — that is meritocracy.,Do I have to do this alone?,~/BGit/act3/we_citizens/pm/communities.mdx; ~/BGit/act3/we_citizens/pm/area.mdx; ~/BGit/act3/data_we_citizens/communities/,overview.mdx; what_is_a_community.mdx; areas.mdx; join_or_start_one.mdx,created
take_action,Take Action,26,"The catalog of things a citizen can actually do this week, each one worth points and each one checkable.","The action catalog across five tracks (challengers, communications, organizing, lawmaking, participation); what each action is worth, from adding a video at 5 points to a challenger winning at 5,000; how an action is logged with a URL and a description as evidence; peer reporting; anti-gaming.",What the points become — that is karma.,What can I do today that is not just posting online?,~/BGit/act3/we_citizens/pm/activism.mdx; ~/BGit/act3/we_citizens/pm/activism_cards.mdx; ~/BGit/act3/data_we_citizens/scores/action_types.yaml; ~/BGit/act3/data_we_citizens/activism/,overview.mdx; the_action_catalog.mdx; call_your_representative.mdx; log_what_you_did.mdx,created
karma,Karma,27,"The citizen side of the ledger — raw points are noise, the monthly karma score is the record, and the history book is permanent.","Why karma is deliberately called a score when a politician award is not; raw points to normalized monthly karma and why the month is the unit; the karma dashboard, the weekly bars and the lifetime number; verification and disputes; the leaderboard; the Leader History Book, hash-chained so it cannot be quietly rewritten.","The menu of things that earn it — that is take_action. Politician awards — those are monkey, llama and flamingo.",What do I get out of doing the work?,~/BGit/act3/we_citizens/pm/scores.mdx; ~/BGit/act3/we_citizens/pm/leaderboard.mdx; ~/BGit/act3/we_citizens/pm/citizen_score_ledger.mdx; ~/BGit/act3/data_we_citizens/scores/scoring_policy.yaml,overview.mdx; points_to_monthly_karma.mdx; verification_and_disputes.mdx; the_leader_history_book.mdx,created
open_data,Open Data,28,"The movement's public record is a git repository. Clone it, check every claim, and send back a correction.",The data repo and how it is laid out; the sourcing rule — no claim about a living person without a source_url; provenance trails for every download; how a citizen proposes a correction and why a decline must state a reason the author can read; coverage and the gaps we publish rather than hide; what we deliberately do not collect.,Analysis built on top of the data — those are the topic areas above.,"Where does all this come from, and can I check it myself?",~/BGit/act3/data_we_citizens/; ~/BGit/act3/we_citizens/pm/data_repo.mdx; ~/BGit/act3/we_citizens/pm/proposals.mdx; ~/BGit/act3/we_citizens/pm/coverage.mdx,overview.mdx; clone_the_record.mdx; the_sourcing_rule.mdx; propose_a_correction.mdx,created
ai,AI,29,"What the AI is allowed to do, what it is never allowed to decide, and the hard rules the build itself enforces.","AI as a verifier of reasoning rather than an oracle; checking a chain from first principles; assessing transcripts against a published rubric; the advisory-only pass that never awards a point; what a human must always sign off on; the hard rules, including the one that says this codebase never downloads media, enforced by a test that fails the build.",Value systems themselves — that is values.,Is an AI deciding my politics?,~/BGit/act3/we_citizens/CLAUDE.md (hard rules); ~/BGit/act3/we_citizens/pm/calc_engines.mdx; ~/BGit/act3/we_citizens/pm/ai_qualifications.mdx; ~/BGit/act3/we_citizens/ai/smart_contracts/,overview.mdx; what_the_ai_does.mdx; what_the_ai_never_decides.mdx; our_hard_rules.mdx,created
repos,Repos,30,"Every repository, what is in it, and how to run the whole movement on your own machine.","The repo map — the app (backend, frontend, shared, wtcx CLI, MCP server), the open data record, this website, and the paired social network; licenses; how to contribute code, data, or a correction; running your own instance; what stops us from becoming the censor.",Using the hosted product — that is get_started.,"Can I see the code, and can I fork you?",https://github.com/ACT3ai/we_the_citizens; https://github.com/ACT3ai/data_we_citizens; ~/BGit/act3/we_citizens/code/packages/; ~/BGit/act3/data_we_citizens/CONTRIBUTING.md; https://m.wecitizens.social,overview.mdx; the_repo_map.mdx; contribute.mdx; run_your_own_instance.mdx,created
we_the_citizens_r,We The Citizens R,31,"The Republican front door at WeCitizensR.com: your own seats, your own incumbents, and who could replace them.","What the WeCitizensR.com edition is and why it exists; the three-column seat block (in office, Republican challenger, Democrat challenger); how the edition finds the seats you actually vote on; the mirror-symmetry rule that makes two partisan skins one honest product; the funnel into app.WeTheCitizens.io.","Award arithmetic (monkey, llama, flamingo); the reasoning engine, values and evidence chains, which live only in the main app; anything that characterizes a party rather than a person and a vote.",I am a Republican — is this site for me?,~/BGit/act3/we_citizens/pm/r_vs_d.mdx; ~/BGit/act3/we_citizens/pm/politicians.mdx; ~/BGit/act3/we_citizens/pm/logged_out.mdx,overview.mdx,planned
we_the_citizens_d,We The Citizens D,32,"The Democrat front door at WeCitizensD.com: your own seats, your own incumbents, and who could replace them.","What the WeCitizensD.com edition is and why it exists; the three-column seat block (in office, Democrat challenger, Republican challenger); how the edition finds the seats you actually vote on; the mirror-symmetry rule that makes two partisan skins one honest product; the funnel into app.WeTheCitizens.io.","Award arithmetic (monkey, llama, flamingo); the reasoning engine, values and evidence chains, which live only in the main app; anything that characterizes a party rather than a person and a vote.",I am a Democrat — is this site for me?,~/BGit/act3/we_citizens/pm/r_vs_d.mdx; ~/BGit/act3/we_citizens/pm/politicians.mdx; ~/BGit/act3/we_citizens/pm/logged_out.mdx,overview.mdx,planned
